flair,data
Political,56.31707317073171
Non-political,17.904109589041095
Reddiquette,164.4891304347826
AskIndia,36.75423728813559
Science & Technology,32.958083832335326
Policy & Economy,33.354066985645936
Finance & Business,34.900584795321635
Sports and food,59.58695652173913
Photography,24.318385650224215
AMA,89.98095238095237
