flair,data
Political,106.0
Non-political,8.0
Reddiquette,16.5
AskIndia,16.0
Science & Technology,14.0
Policy & Economy,19.0
Finance & Business,22.0
Sports and food,54.0
Photography,16.0
AMA,76.0
