flair,data
Political,32.5
Non-political,7.0
Reddiquette,18.5
AskIndia,18.0
Science & Technology,11.0
Policy & Economy,11.0
Finance & Business,11.0
Sports and food,33.0
Photography,10.0
AMA,49.0
