flair,data
Political,213.0691056910569
Non-political,44.29223744292238
Reddiquette,43.20652173913044
AskIndia,33.71186440677966
Science & Technology,52.29940119760479
Policy & Economy,54.110047846889955
Finance & Business,72.9298245614035
Sports and food,85.28260869565217
Photography,76.36322869955157
AMA,147.61428571428573
